SEARCH_DATE,HOTEL_ID,CHECK_IN_DATE,ELIGIBLE_IMPRESSIONS,IMPRESSIONS,TRANSITION_PAGE_OPENS,BOOKING_FORM_OPENS,BOOKINGS
2019-08-31,122695,2019-08-31,1927,1715,464,83,8
2019-09-01,118583,2019-09-01,2052,1114,258,47,3
2019-07-03,139402,2019-07-05,2482,1398,282,55,3
2019-07-05,122212,2019-07-05,1838,802,207,21,2
2019-08-31,125186,2019-09-02,3484,774,200,37,2
2019-07-06,113149,2019-07-06,748,646,110,21,2
2019-09-15,163446,2019-09-15,820,570,109,18,2
2019-07-15,139402,2019-07-15,651,615,131,22,2
2019-07-02,192661,2019-07-04,371,286,82,8,1
2019-07-05,118583,2019-07-05,3238,689,179,32,1
2019-07-14,139402,2019-07-26,301,301,81,13,1
2019-09-13,118583,2019-09-13,2385,415,124,7,1
2019-07-19,106060,2019-07-19,811,274,82,15,1
2019-08-30,139601,2019-08-30,1199,330,98,14,1
2019-07-08,118583,2019-07-08,2098,164,47,9,1
2019-08-24,505698,2019-09-17,1368,1367,210,38,1
2019-07-03,113149,2019-07-05,1316,920,207,12,1
2019-08-12,118583,2019-08-12,1793,301,81,9,1
2019-09-01,1056306,2019-09-01,1062,882,202,20,1
2019-07-13,163430,2019-07-13,952,220,58,8,1
2019-08-30,311298,2019-09-01,2013,198,54,9,1
2019-08-17,108379,2019-08-17,281,264,69,13,1
2019-07-20,227324,2019-07-20,139,137,37,7,1
2019-08-30,122695,2019-08-30,1229,315,57,9,1
2019-09-04,122212,2019-09-06,2931,424,95,13,1
2019-07-20,107955,2019-07-20,455,455,95,15,1
2019-07-03,125186,2019-07-05,2118,1511,283,20,1
2019-08-09,135542,2019-08-09,1321,252,57,11,1
2019-08-30,505698,2019-08-30,336,336,67,10,1
2019-07-07,139402,2019-07-07,753,436,81,10,1
2019-09-03,152625,2019-09-05,2263,265,53,6,1
2019-08-31,115786,2019-08-31,548,439,72,12,1
2019-07-20,257544,2019-07-20,623,382,84,8,1
2019-08-10,135542,2019-08-10,1469,195,38,7,1
2019-09-06,118583,2019-09-06,1601,260,71,9,1
2019-07-10,118583,2019-07-10,2199,152,39,6,1
2019-07-05,122212,2019-07-06,276,237,64,6,1
2019-07-07,136892,2019-07-07,310,296,84,11,1
2019-07-06,122147,2019-07-06,299,240,68,9,1
2019-08-31,112870,2019-08-31,471,213,53,9,1
2019-08-31,112914,2019-08-31,1240,813,162,19,1
2019-09-14,118583,2019-09-14,2594,1098,291,24,1
2019-07-20,193208,2019-07-20,535,305,64,9,1
2019-08-31,108790,2019-08-31,665,581,151,23,1
2019-07-17,139402,2019-07-17,708,652,100,16,1
2019-08-31,124086,2019-08-31,269,135,40,6,1
2019-08-31,122212,2019-08-31,1865,402,84,14,1
2019-07-23,122212,2019-07-25,3969,286,60,10,1
2019-09-02,152625,2019-09-02,992,259,71,11,1
2019-07-20,135542,2019-07-20,1497,219,60,11,1
2019-07-27,135542,2019-07-27,1897,432,107,9,1
2019-08-07,149069,2019-08-09,1510,451,70,9,1
2019-09-01,111964,2019-09-01,183,143,40,7,1
2019-08-29,1056306,2019-08-29,619,565,153,30,1
2019-07-06,109281,2019-07-06,1513,394,115,12,1
2019-07-26,114303,2019-07-26,140,121,33,6,1
